ROM;Clone of;Name;Year;Status;Comment
1941;;1941 - Counter Attack (World);1990;matches;"matches"
1942;;1942 (set 1);1984;matches;"matches"
1943;;1943: The Battle of Midway (US);1987;matches;"matches"
1943kai;;1943 Kai: Midway Kaisen (Japan);1987;matches;"matches"
altbeas2;altbeast;Altered Beast (set 2, MC-8123B 317-0066);1988;matches;"matches"
aof3;;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;matches;"matches"
arkanoi2;;"arkanoi2";0;matches;"matches"
arknoidj;arkanoid;Arkanoid (Japan);1986;matches;"matches"
asteroid;;Asteroids (rev 2);1979;matches;"matches"
astinvad;;Astro Invader;1980;matches;"matches"
astrob;;Astro Blaster (version 3);1981;matches;"matches"
astrof;;Astro Fighter (set 1);1979;matches;"matches"
atetris;;Tetris (set 1);1988;matches;"matches"
baddudes;;Bad Dudes vs. Dragonninja (US);1988;matches;"matches"
badlands;;Bad Lands;1989;matches;"matches"
bermudat;;Bermuda Triangle (Japan);1987;matches;"matches"
biomtoy;;Biomechanical Toy (unprotected);1995;matches;"matches"
bionicc;;Bionic Commando (US set 1);1987;matches;"matches"
bjtwin;;Bombjack Twin;1993;incompatible;"2 differences (incompatible): 
 - rom [bjt.76] missing
 - rom [bjt.77] missing"
block;;Block Block (World 910910);1991;matches;"matches"
bombjack;;Bomb Jack (set 1);1984;matches;"matches"
burningf;;Burning Fight (set 1);1991;matches;"matches"
cameltry;;Cameltry (US);1989;incompatible;"2 differences (incompatible): 
 - rom [c38-09.bin] missing
 - rom [c38-10.bin] missing"
captcomm;;Captain Commando (World 911014);1991;matches;"matches"
cclimber;;Crazy Climber (US);1980;matches;"matches"
cclimbr2;;Crazy Climber 2 (Japan);1988;matches;"matches"
chopper;;Chopper I (US set 1);1988;matches;"matches"
chplft;;Choplifter;1985;matches;"matches"
cninja;;Caveman Ninja (World revision 3);1991;matches;"matches"
commando;;Commando (World);1985;matches;"matches"
contra;;Contra (US);1987;matches;"matches"
cshift;;Chicken Shift;1984;matches;"matches"
csprint;;Championship Sprint (rev 3);1986;matches;"matches"
dday;;D-Day;1982;matches;"matches"
ddonpach;;DoDonPachi (International);1997;incompatible;"2 differences (incompatible): 
 - rom [u27.bin] missing
 - rom [u26.bin] missing"
ddragon;;Double Dragon (Japan);1987;matches;"matches"
ddragon2;;Double Dragon II - The Revenge (World);1988;matches;"matches"
ddribble;;Double Dribble;1986;matches;"matches"
dino;;Cadillacs and Dinosaurs (World 930201);1993;matches;"matches"
dkong;;Donkey Kong (US set 1);1981;matches;"matches"
dkong3;;Donkey Kong 3 (US);1983;matches;"matches"
dkongjr;;Donkey Kong Junior (US);1982;matches;"matches"
doubledr;;Double Dragon (Neo-Geo);1995;matches;"matches"
dsaber;;Dragon Saber;1990;matches;"matches"
elevator;;Elevator Action;1983;matches;"matches"
endurob2;enduror;Enduro Racer (bootleg set 2);1986;matches;"matches"
faceoff;;Face Off (Japan);1988;matches;"matches"
fatfury1;;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai;1991;matches;"matches"
fatfury3;;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai;1995;incompatible;"4 differences (incompatible): 
 - rom [fury3_c1.rom] missing
 - rom [fury3_c2.rom] missing
 - rom [fury3_c3.rom] missing
 - rom [fury3_c4.rom] missing"
fbfrenzy;;Football Frenzy;1992;incompatible;"12 differences (incompatible): 
 - rom [n046001a.038] missing
 - rom [n046001a.1f8] missing
 - rom [n046001a.1fc] missing
 - rom [n046001a.4f8] missing
 - rom [n046001a.538] missing
 - rom [n046001a.53c] missing
 - rom [n046001a.638] missing
 - rom [n046001a.63c] missing
 - rom [n046001b.1f8] missing
 - rom [n046001b.1fc] missing
 - rom [n046001b.538] missing
 - rom [n046001b.638] missing"
ffight;;Final Fight (World);1989;matches;"matches"
firetrap;;Fire Trap (US);1986;matches;"matches"
frogger;;Frogger;1981;matches;"matches"
galag88b;;"galag88b";0;matches;"matches"
galaga;;Galaga (Namco rev. B);1981;matches;"matches"
galaga88;;Galaga '88;1987;matches;"matches"
galaxian;;Galaxian (Namco set 1);1979;matches;"matches"
gaunt2;;Gauntlet II;1986;incompatible;"1 differences (incompatible): 
 - rom [gauntlt2.6p] missing"
gauntlet;;Gauntlet (rev 14);1985;matches;"matches"
gghost;;Goalie Ghost;1984;matches;"matches"
ghouls;;Ghouls'n Ghosts (World);1988;matches;"matches"
gng;;Ghosts'n Goblins (World? set 1);1985;matches;"matches"
goalx3;;Goal! Goal! Goal!;1995;matches;"matches"
goldnaxa;;"goldnaxa";0;matches;"matches"
goldnaxe;;Golden Axe (set 6, US, 8751 317-123A);1989;matches;"matches"
gunfront;;Gun & Frontier (World);1990;matches;"matches"
gunsmoke;;Gun.Smoke (World);1985;matches;"matches"
gunsmrom;;"gunsmrom";0;matches;"matches"
gwar;;Guerrilla War (US);1987;matches;"matches"
gyruss;;Gyruss (Konami);1983;matches;"matches"
hangly;puckman;Hangly-Man (set 1);1981;matches;"matches"
hangon;;Hang-On;1985;matches;"matches"
ikari;;Ikari Warriors (US);1986;matches;"matches"
indytemp;;Indiana Jones and the Temple of Doom (set 1);1985;matches;"matches"
jackal;;Jackal (World);1986;matches;"matches"
jedi;;Return of the Jedi;1984;matches;"matches"
joust;;Joust (White/Green label);1982;matches;"matches"
joust2;;Joust 2 - Survival of the Fittest (set 1);1986;matches;"matches"
junglek;;Jungle King (Japan);1982;matches;"matches"
karnov;;Karnov (US);1987;matches;"matches"
kidniki;;Kid Niki - Radical Ninja (World);1986;matches;"matches"
klax;;Klax (set 1);1989;matches;"matches"
knights;;Knights of the Round (World 911127);1991;matches;"matches"
kotm;;King of the Monsters (set 1);1991;incompatible;"15 differences (incompatible): 
 - rom [n058001a.038] missing
 - rom [n058001a.03c] missing
 - rom [n058001a.1f8] missing
 - rom [n058001a.1fc] missing
 - rom [n058001a.4f8] missing
 - rom [n058001a.538] missing
 - rom [n058001a.53c] missing
 - rom [n058001a.638] missing
 - rom [n058001a.63c] missing
 - rom [n058001b.1f8] missing
 - rom [n058001b.1fc] missing
 - rom [n058001b.538] missing
 - rom [n058001b.53c] missing
 - rom [n058001b.638] missing
 - rom [n058001b.63c] missing"
kungfum;;Kung-Fu Master;1984;matches;"matches"
lkageb3;lkage;The Legend of Kage (bootleg set 3);1984;matches;"matches"
lwings;;Legendary Wings (US set 1);1986;matches;"matches"
madgear;;Mad Gear (US);1989;matches;"matches"
marble;;Marble Madness (set 1);1984;incompatible;"4 differences (incompatible): 
 - rom [136033.404] missing
 - rom [136033.402] missing
 - rom [136033.401] missing
 - rom [136033.403] missing"
mario;;Mario Bros. (US);1983;matches;"matches"
megaman;;Mega Man - The Power Battle (CPS1 Asia 951006);1995;matches;"matches"
mnight;;Mutant Night;1987;matches;"matches"
mslug;;Metal Slug - Super Vehicle-001;1996;incompatible;"4 differences (incompatible): 
 - rom [mslug_c3.rom] missing
 - rom [mslug_c2.rom] missing
 - rom [mslug_c1.rom] missing
 - rom [mslug_c4.rom] missing"
mslug2;;Metal Slug 2 - Super Vehicle-001/II;1998;matches;"matches"
neobombe;;Neo Bomberman;1997;matches;"matches"
neodrift;;Neo Drift Out - New Technology;1996;matches;"matches"
neogeo;;Neo-Geo;1990;matches;"matches"
neomrdo;;Neo Mr. Do!;1996;matches;"matches"
offroad;;Ironman Stewart's Super Off-Road;1989;matches;"matches"
outrun;;Out Run (set 3);1986;matches;"matches"
pacmanjp;;"pacmanjp";0;matches;"matches"
pacmanm;;"pacmanm";0;matches;"matches"
pacnpal;;Pac & Pal;1983;matches;"matches"
pang;;Pang (World);1989;matches;"matches"
paperboy;;Paperboy (rev 3);1984;matches;"matches"
passht4b;passsht;Passing Shot (4 Players) (bootleg);1988;matches;"matches"
pbobble;;Puzzle Bobble (Japan, B-System);1994;matches;"matches"
pgoal;;Pleasure Goal / Futsal - 5 on 5 Mini Soccer;1996;matches;"matches"
pigskin;;Pigskin 621AD;1990;matches;"matches"
polepos;;Pole Position;1982;matches;"matches"
polepos2;;Pole Position II;1983;matches;"matches"
pow;;P.O.W. - Prisoners of War (US);1988;matches;"matches"
pspikes2;;Power Spikes II;1994;matches;"matches"
psychic5;;Psychic 5;1987;matches;"matches"
pulstar;;Pulstar;1995;matches;"matches"
punisher;;The Punisher (World 930422);1993;matches;"matches"
qbert;;Q*bert (US set 1);1982;matches;"matches"
rampage;;Rampage (revision 3);1986;matches;"matches"
rampart;;Rampart (Trackball);1990;matches;"matches"
rbff2;;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers (set 1);1998;matches;"matches"
redlin2p;;Redline Racer (2 players);1987;matches;"matches"
renegade;;Renegade (US);1986;matches;"matches"
roadrunn;;Road Runner (rev 2);1985;matches;"matches"
roboarmy;;Robo Army (set 1);1991;incompatible;"8 differences (incompatible): 
 - rom [rarmy_v1.rom] missing
 - rom [rarmy_v2.rom] missing
 - rom [rarmy_v3.rom] missing
 - rom [rarmy_v4.rom] missing
 - rom [rarmy_c1.rom] missing
 - rom [rarmy_c2.rom] missing
 - rom [rarmy_c3.rom] missing
 - rom [rarmy_c4.rom] missing"
robocop;;Robocop (World revision 4);1988;matches;"matches"
rthunder;;Rolling Thunder (new version);1986;matches;"matches"
rtype2;;R-Type II;1989;matches;"matches"
rtypeleo;;R-Type Leo (World);1992;incompatible;"2 differences (incompatible): 
 - rom [rtl-l0-d.bin] missing
 - rom [rtl-h0-d.bin] missing"
rygar;;Rygar (US set 1);1986;matches;"matches"
samsho;;Samurai Shodown / Samurai Spirits;1993;matches;"matches"
sbbros;spang;Super Buster Bros. (US 901001);1990;matches;"matches"
scontra;;Super Contra;1988;matches;"matches"
sf1;;"sf1";0;matches;"matches"
sf1us;;"sf1us";0;matches;"matches"
sf2;;Street Fighter II - The World Warrior (World 910522);1991;matches;"matches"
sf2ce;;Street Fighter II' - Champion Edition (World 920313);1992;matches;"matches"
shangon;;Super Hang-On (set 4, 68000);1987;incompatible;"2 differences (incompatible): 
 - rom [ic67] missing
 - rom [ic75] missing"
shangonb;;"shangonb";0;matches;"matches"
sharrier;;Space Harrier (Rev A, 8751 315-5163A);1985;matches;"matches"
shdancer;;Shadow Dancer (set 3, US);1989;matches;"matches"
shdancrj;;"shdancrj";0;matches;"matches"
shinobi;;Shinobi (set 5, System 16A, unprotected);1987;matches;"matches"
shinobib;;"shinobib";0;matches;"matches"
shootout;;Shoot Out (US);1985;matches;"matches"
sidepckt;;Side Pocket (World);1986;matches;"matches"
simpsons;;The Simpsons (4 Players);1991;matches;"matches"
slapfigh;;Slap Fight (set 1);1986;matches;"matches"
snowbro2;;Snow Bros. 2 - With New Elves / Otenki Paradise;1994;matches;"matches"
snowbros;;Snow Bros. - Nick & Tom (set 1);1990;matches;"matches"
solomon;;Solomon's Key (Japan);1986;matches;"matches"
sonicwi2;;Aero Fighters 2 / Sonic Wings 2;1994;incompatible;"1 differences (incompatible): 
 - rom [afig2_s1.rom] missing"
sonicwi3;;Aero Fighters 3 / Sonic Wings 3;1995;matches;"matches"
splatter;;Splatter House (World);1988;matches;"matches"
spnchout;;Super Punch-Out!!;1984;matches;"matches"
spool3;pcktgal;Super Pool III (World?);1989;matches;"matches"
spyhunt;;Spy Hunter;1983;matches;"matches"
spyhunt2;;Spy Hunter 2 (rev 2);1987;matches;"matches"
ssideki2;;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football;1994;matches;"matches"
ssprint;;Super Sprint (rev 4);1986;matches;"matches"
ssriders;;Sunset Riders (4 Players ver EAC);1991;matches;"matches"
strhoop;;Street Hoop / Street Slam / Dunk Dream;1994;incompatible;"1 differences (incompatible): 
 - rom [shoop_s1.rom] missing"
superqix;;"superqix";0;matches;"matches"
tapper;;Tapper (Budweiser);1983;matches;"matches"
tdfever;;TouchDown Fever;1987;matches;"matches"
term2;;Terminator 2 - Judgment Day (rev LA3 03/27/92);1991;matches;"matches"
tmnt;;Teenage Mutant Ninja Turtles (World 4 Players);1989;incompatible;"12 differences (incompatible): 
 - rom [tmnt.g7] missing
 - rom [tmnt.g19] missing
 - rom [963-e20] missing
 - rom [963-a29] missing
 - rom [963-a28] missing
 - rom [963-a27] missing
 - rom [963-a26] missing
 - rom [963-a25] missing
 - rom [963-a18] missing
 - rom [963-a17] missing
 - rom [963-a16] missing
 - rom [963-a15] missing"
tmnt22p;tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver UDA);1991;matches;"matches"
tnk3;;T.N.K. III (US);1985;matches;"matches"
toki;;Toki (World set 1);1989;matches;"matches"
trisport;;Tri-Sports;1989;matches;"matches"
tturfu;tturf;Tough Turf (set 1, US, 8751 317-0099);1989;matches;"matches"
twincobr;;Twin Cobra (World);1987;matches;"matches"
twocrude;cbuster;Two Crude (US);1990;matches;"matches"
uccops;;Undercover Cops (World);1992;matches;"matches"
victroad;;Victory Road;1986;matches;"matches"
vigilant;;Vigilante (World);1988;matches;"matches"
viper;;Viper;1988;matches;"matches"
wb3;;Wonder Boy III - Monster Lair (set 5, World, System 16B, 8751 317-0098);1988;matches;"matches"
wbml;;Wonder Boy in Monster Land (Japan New Ver.);1987;matches;"matches"
wboyu;wboy;Wonder Boy (not encrypted);1986;matches;"matches"
wjammers;;Windjammers / Flying Power Disc;1994;incompatible;"3 differences (incompatible): 
 - rom [windj_p1.rom] missing
 - rom [windj_s1.rom] missing
 - rom [windj_v4.rom] missing"
wof;;Warriors of Fate (World 921002);1992;matches;"matches"
xenophob;;Xenophobe;1987;matches;"matches"
xmen6p;xmen;X-Men (6 Players ver ECB);1992;matches;"matches"
xybots;;Xybots (rev 2);1987;matches;"matches"
zaxxon;;Zaxxon (set 1);1982;matches;"matches"
zerozone;;Zero Zone;1993;matches;"matches"
